Provincia,Departamento,Dominio_mas_frecuente
Salta,San Carlos,gmail
San Juan,Capital,gmail
San Juan,Chimbas,gmail
San Juan,Rivadavia,gmail
San Juan,Rivadavia,hotmail
San Luis,Coronel Pringles,yahoo
San Luis,General Pedernera,gmail
San Luis,Junin,gmail
Santa Cruz,Deseado,gmail
Santa Cruz,Guer Aike,hotmail
Santa Cruz,Lago Argentino,gmail
Santa Fe,Caseros,chabas
Santa Fe,Castellanos,gmail
Santa Fe,Constitucion,gmail
Santa Fe,General Lopez,hotmail
Santa Fe,General Lopez,gmail
Santa Fe,General Lopez,venadotuerto
Santa Fe,General Obligado,gmail
Santa Fe,La Capital,gmail
Santa Fe,Las Colonias,hotmail
Santa Fe,Las Colonias,gmail
Santa Fe,Rosario,gmail
Santa Fe,San Cristobal,hotmail
Santa Fe,San Justo,gmail
Santa Fe,San Lorenzo,gmail
Santa Fe,San Martin,gmail
Santa Fe,Vera,gmail
Santiago del Estero,Banda,gmail
Santiago del Estero,Banda,hotmail
Santiago del Estero,Capital,gmail
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,riogrande
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,gmail
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,hotmail
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,gmail
Tucumán,Capital,gmail
Tucumán,Cruz Alta,gmail
Tucumán,Lules,gmail
Tucumán,Yerba Buena,gmail
